park_name,lat,lon,is_poppy,x,y
Robert W. Crown Memorial State Beach,37.76036945,-122.2675865,False,-0.038892708456445414,0.7126891663814199
Woodland Opera House State Historic Park,38.677816799999995,-121.7719381,False,-0.030242011944203673,0.7330708178375303
Lake Del Valle State Recreation Area,37.596321200000006,-121.714118,False,-0.029232860825371285,0.7090715435408297
San Bruno Mountain State Park,37.6855384,-122.43444270000002,False,-0.041804898523812035,0.7110379856672312
Antelope Valley CA Poppy Reserve,34.7323874,-118.39550459999998,True,0.02868786960543261,0.6471439652512617
George J. Hatfield State Recreation Area,37.354760600000006,-120.9606422,True,-0.016082227281272926,0.7037590879170769
Austin Creek State Recreation Area,38.5013555,-123.06925359999998,True,-0.05288443885635985,0.7291305669878486
Benicia State Recreation Area,38.049365,-122.1585777,True,-0.03699014598279746,0.7190817288458758
Bethany Reservoir State Recreation Area,37.78424595,-121.6199696,True,-0.027589661259886752,0.7132163634697399
King’s Beach State Recreation Area,39.2362794,-120.0233622,True,0.0002763947318195464,0.745605386531919
San Luis Reservoir State Recreation Area,37.044002899999995,-121.11821509999999,True,-0.01883239319818854,0.696949908746376
McConnell State Recreation Area,40.5952407,-122.3838364,True,-0.040921651966559815,0.7765311145839061
Millerton Lake State Recreation Area,37.0378612,-119.6308882,True,0.007126358260291647,0.6968156163815536
Tule Elk State Natural Reserve,35.322444700000005,-119.36483020000001,True,0.01176994636156249,0.659720367660485
Placerita Canyon State Park,34.3773806,-118.47012340000002,False,0.027385525861544795,0.6396206737474461
Kenneth Hahn State Recreation Area,33.9262966,-118.23799170000001,False,0.0314369883247967,0.6301071533107085
Woodson Bridge State Recreation Area,39.909388,-122.091798,False,-0.035824620344303434,0.7608465472202637
